B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
21 years,2132462,12948,25798,1532,5137,703,5137,703,4,6,0,13,2030,549,489,203,582,188,79,56,665,321,151,180,11,14,0,13,0,13,111,100,59,57,0,13,48,75,0,13,0,13,27,42,38,43,0,13,112,84,0,13,0,13,0,13,2,4,44,70,0,13,0,13,44,70,417,217,218,125,0,13,29,47,0,13,0,13,0,13,0,13,0,13,28,28
22 to 24 years,6279335,16420,77281,1738,8520,730,8520,730,0,13,0,13,2268,445,1094,283,647,243,478,142,1098,384,215,119,0,13,7,11,0,13,368,272,121,66,0,13,21,29,10,15,55,41,34,56,90,74,146,120,287,197,12,16,2,7,12,18,4,8,16,28,29,29,0,13,23,37,710,207,774,267,15,24,159,120,0,13,0,13,0,13,0,13,0,13,0,13
25 to 29 years,11052805,4066,140481,439,12372,26,12372,26,3,5,3,7,2377,387,2611,414,657,322,946,183,1011,261,513,171,8,15,0,13,14,22,469,170,319,148,4,6,47,50,0,13,42,37,6,10,185,105,188,88,348,131,24,34,23,19,19,21,24,26,53,61,42,32,4,7,170,134,1462,270,909,283,14,19,98,89,0,13,18,27,26,43,0,13,0,13,25,26
30 to 34 years,11409091,4249,150877,424,11884,18,11884,18,28,22,0,13,1565,276,2002,331,325,97,922,184,1350,244,294,126,19,20,6,10,4,8,395,152,245,104,11,15,121,126,22,35,49,58,14,17,381,143,268,124,447,159,11,17,30,25,15,14,42,41,14,24,60,37,0,13,258,114,1369,213,1674,335,2,5,233,124,5,9,15,23,18,19,21,33,0,13,22,19
35 to 39 years,11036796,20357,146250,2164,11813,703,11813,703,15,14,0,13,1013,237,1573,279,180,69,1479,260,1603,294,679,153,5,5,27,26,17,18,522,124,223,94,1,2,61,50,55,48,78,64,31,28,363,119,137,89,362,147,0,13,51,42,31,21,54,37,46,55,163,147,33,22,98,100,1477,263,1507,285,2,5,147,78,6,11,16,19,9,16,44,44,0,13,44,38
40 to 44 years,10566737,22256,144247,2194,11902,718,11902,718,41,32,0,13,1193,286,2249,381,244,75,1015,170,1457,240,433,135,24,14,45,33,48,24,800,176,301,133,15,16,48,49,38,52,43,35,32,32,312,126,236,122,476,227,8,11,60,46,9,7,40,36,78,70,171,68,9,14,43,65,1259,219,1248,226,4,5,314,139,6,9,17,26,14,16,10,9,0,13,129,61
45 to 49 years,10043210,4046,128774,597,10539,67,10539,67,19,15,10,13,793,196,1400,234,225,115,813,161,1344,257,573,205,46,43,34,35,21,24,586,160,440,161,4,5,18,26,8,13,112,87,59,54,525,253,22,23,391,130,25,22,38,52,0,13,26,30,106,83,117,77,14,18,123,114,901,191,1391,320,0,13,366,206,18,23,131,98,18,20,20,31,0,13,33,37
50 to 54 years,10428235,4025,126741,567,10620,93,10620,93,58,36,8,12,1084,276,1252,230,237,94,923,172,1631,255,407,119,7,6,11,12,5,8,620,158,254,96,9,8,128,98,0,13,141,86,22,20,259,98,110,70,612,199,5,8,108,65,15,12,72,46,78,59,54,41,24,35,0,13,1342,233,991,238,4,5,420,196,20,26,0,13,8,9,0,13,0,13,43,33
55 to 59 years,10803732,21500,125649,1842,11845,634,11845,634,15,19,42,65,717,172,1640,359,251,132,1079,201,1779,328,479,130,7,6,12,13,53,34,639,189,454,146,22,16,87,63,26,25,54,39,57,47,654,186,82,50,598,253,12,21,48,34,43,37,52,34,60,47,164,79,85,126,128,97,1030,221,1215,236,28,22,456,184,5,8,15,24,34,54,35,35,12,13,163,146
60 and 61 years,4492270,15853,57555,1851,5376,503,5376,503,20,17,23,33,398,138,619,178,45,34,604,173,460,106,296,129,11,11,12,14,54,44,221,74,114,65,4,5,0,13,11,13,82,54,46,40,301,105,96,88,272,139,14,18,15,17,44,36,8,13,41,53,71,43,8,12,86,90,652,210,657,196,17,15,238,115,4,7,23,30,0,13,9,13,10,12,5,7
62 to 64 years,6469350,18580,85702,1782,7614,533,7614,533,74,74,20,29,727,251,864,233,232,71,725,148,929,226,264,87,3,4,33,25,21,24,432,109,294,143,37,26,46,43,38,49,44,31,51,43,484,146,272,144,304,125,15,15,35,24,61,49,44,40,51,49,75,75,29,28,97,81,703,201,750,226,3,5,217,105,26,25,17,19,10,14,11,12,26,31,49,32
65 and 66 years,4052765,13253,55089,1702,5456,565,5456,565,43,29,8,14,572,317,629,139,85,43,619,141,750,181,161,70,29,32,21,19,32,29,287,98,83,47,9,7,20,29,0,13,17,19,14,16,340,123,64,52,313,161,3,5,43,31,26,20,21,28,137,154,71,51,7,12,41,57,499,135,531,176,0,13,100,53,30,21,0,13,0,13,12,13,34,32,25,26
67 to 69 years,5576237,15826,81903,1965,8231,550,8231,550,39,24,119,167,741,172,1156,277,157,70,602,131,1065,209,358,137,25,15,22,17,8,12,452,148,110,57,23,20,140,81,9,10,23,21,14,15,795,178,54,53,323,112,5,8,38,26,33,22,35,30,56,45,61,36,0,13,121,96,849,195,741,192,18,20,191,97,63,62,0,13,0,13,25,36,12,15,91,61
70 to 74 years,7978348,17513,115568,1659,11559,642,11559,642,43,25,62,67,1159,199,1308,293,265,97,1350,334,1675,210,583,121,9,7,19,18,52,45,557,136,331,146,23,16,20,30,22,16,83,46,4,7,945,163,44,40,265,94,0,13,58,37,23,13,14,11,46,42,150,82,53,88,144,80,978,222,1030,259,4,5,252,95,64,38,19,24,17,18,144,188,34,42,123,84
75 to 79 years,5461052,16334,75812,1681,7633,498,7633,498,13,12,59,49,995,216,662,184,173,68,558,144,776,171,461,117,15,8,50,54,28,24,442,130,110,49,12,9,33,42,24,31,71,37,26,16,981,264,14,23,398,130,55,55,32,28,57,28,5,8,47,39,76,47,10,16,73,82,495,123,768,235,15,19,212,166,29,28,22,28,0,13,0,13,13,13,43,34
80 to 84 years,3631914,12460,44759,1258,4646,416,4646,416,12,16,31,50,737,169,744,232,125,65,409,141,488,129,188,99,0,13,11,12,0,13,186,69,79,53,0,13,0,13,6,10,4,7,25,31,440,137,75,53,124,85,0,13,32,30,13,9,11,15,16,24,20,29,0,13,10,20,444,129,375,107,5,7,104,76,6,10,6,9,0,13,44,67,17,16,34,25
85 years and over,4050652,15097,51969,1471,4918,471,4918,471,12,15,0,13,821,202,357,97,56,39,373,167,703,241,175,101,0,13,6,9,22,24,339,130,97,58,7,6,0,13,0,13,59,48,17,16,377,113,19,27,135,63,0,13,33,35,5,7,4,7,24,34,1,2,8,13,88,72,746,243,321,117,0,13,99,107,5,9,14,22,0,13,27,42,0,13,124,71
